,Time,energy_acc_xyz,orientation_acc_xyz,energy_orientation,energy_acc_xxyyzz,energy_ang_xyz,energy_ang_xyz_regularized,feedingClass,drinkingClass,activity,nonfeedingClass,unixtime,ges
0,2016-08-23 19:04:58.056000-05:00,0.00038500608577993407,8.648173988764324,8.648558994850102,34.706580950015066,0.11996137648128155,9.256279049481605e-07,0,0,0,0,1471997098056,0
1,2016-08-23 19:04:58.107000-05:00,5.304234687690983e-05,8.594332608148104,8.594385650494981,34.77815669264541,0.2567546966752882,1.981131918790804e-06,0,0,0,0,1471997098107,0
2,2016-08-23 19:04:58.181000-05:00,0.0003903748334274163,8.561172673256257,8.561563048089685,34.81036154075667,0.4240914348400512,3.272310454012741e-06,0,0,0,0,1471997098181,0
3,2016-08-23 19:04:58.232000-05:00,0.0007402110686092041,8.721877106582742,8.72261731765135,36.38092641244821,0.4730298429390089,3.649921627615808e-06,0,0,0,0,1471997098232,0
4,2016-08-23 19:04:58.309000-05:00,0.00793356456648562,9.26200734553982,9.269940910106305,39.67862608558053,0.3600835181330705,2.7784222078169016e-06,0,0,0,0,1471997098309,0
5,2016-08-23 19:04:58.357000-05:00,0.1408567843525528,11.687929722053273,11.828786506405823,54.21668701125509,3.6283385191229884,2.7996439190763805e-05,0,0,0,0,1471997098357,0
6,2016-08-23 19:04:58.418000-05:00,0.4614940359089178,12.002493371815591,12.463987407724506,52.30870282232559,18.34893982360356,0.00014158132579941024,0,0,0,0,1471997098418,0
7,2016-08-23 19:04:58.508000-05:00,0.2640920075133331,7.817498593341999,8.081590600855332,31.20107857759239,27.382220572779673,0.0002112825661479913,0,0,0,0,1471997098508,0
8,2016-08-23 19:04:58.555000-05:00,0.1167211462564628,4.215366656988548,4.3320878032450105,9.488456221715015,36.01392725702186,0.00027788524118072417,0,0,0,0,1471997098555,0
9,2016-08-23 19:04:58.624000-05:00,0.028407712386278813,3.745824357652462,3.7742320700387406,7.359484446656518,55.39357747770118,0.00042741957930324975,0,0,0,0,1471997098624,0
10,2016-08-23 19:04:58.711000-05:00,0.14647490696605886,3.6899085581146704,3.8363834650807296,7.54854851645984,71.35056179053132,0.0005505444582602724,0,0,0,0,1471997098711,0
11,2016-08-23 19:04:58.756000-05:00,0.3623557630715396,4.9669871013221565,5.329342864393696,10.873635490236769,74.13579491247971,0.0005720354545716027,0,0,0,0,1471997098756,0
12,2016-08-23 19:04:58.806000-05:00,0.19010845435008256,9.233146861678225,9.423255316028307,43.55273943195639,52.298640944989884,0.0004035388961804775,0,0,0,0,1471997098806,0
13,2016-08-23 19:04:58.882000-05:00,0.037644969740505935,10.20679558548699,10.244440555227497,55.70658587523013,25.873045120135323,0.00019963769382820457,0,0,0,0,1471997098882,0
14,2016-08-23 19:04:58.958000-05:00,0.017990061187182108,8.314400624091135,8.332390685278316,34.86532067534277,11.546920351936665,8.909660765383227e-05,0,0,0,0,1471997098958,0
15,2016-08-23 19:04:59.006000-05:00,0.06973516860957855,9.351087321534626,9.420822490144207,44.40377683082754,4.23459873403523,3.2674372947802705e-05,0,0,0,0,1471997099006,0
16,2016-08-23 19:04:59.083000-05:00,0.04363668173813836,10.462237562628973,10.50587424436711,57.06132339710434,1.7482599122857228,1.3489659817019467e-05,0,0,0,0,1471997099083,0
17,2016-08-23 19:04:59.159000-05:00,0.041254956526310636,8.385726975804223,8.426981932330534,37.094935537871564,3.826042594452333,2.952193359916924e-05,0,0,0,0,1471997099159,0
18,2016-08-23 19:04:59.208000-05:00,0.1125146751593784,7.6395462468369,7.752060921996279,28.61203827971384,5.7702590352321526,4.452360366691478e-05,0,0,0,0,1471997099208,0
19,2016-08-23 19:04:59.292000-05:00,0.04745890132098316,8.264999789999061,8.312458691320042,27.230465481112727,2.5591580465665227,1.9746589865482424e-05,0,0,0,0,1471997099292,0
20,2016-08-23 19:04:59.358000-05:00,0.030725789401039906,7.4190456702045795,7.4497714596056195,21.748039656446558,0.4983880280241737,3.845586635988994e-06,0,0,0,0,1471997099358,0
21,2016-08-23 19:04:59.383000-05:00,0.027241851360092467,7.232454254051203,7.259696105411294,23.10657428596535,0.9808574771184332,7.568344730852106e-06,0,0,0,0,1471997099383,0
22,2016-08-23 19:04:59.466000-05:00,0.055183355470300496,8.275818854048335,8.331002209518637,34.8555718287,0.3480421311467619,2.68551027119415e-06,0,0,0,0,1471997099466,0
23,2016-08-23 19:04:59.533000-05:00,0.051418663631424236,7.799363537404234,7.850782201035657,31.751301182806788,1.072761128784412,8.277477845558734e-06,0,0,0,0,1471997099533,0
24,2016-08-23 19:04:59.582000-05:00,0.03110092457697781,6.883801207599051,6.914902132176029,22.51114953424663,2.8372882020471333,2.1892655879993305e-05,0,0,0,0,1471997099582,0
25,2016-08-23 19:04:59.656000-05:00,0.016505201044343918,7.3147216076965265,7.33122680874087,22.62141840896409,2.8885933283282768,2.2288528767965107e-05,0,0,0,0,1471997099656,0
26,2016-08-23 19:04:59.732000-05:00,0.04213370859635214,7.0734292800581855,7.1155629886545375,18.94214171357438,1.6451693696354932,1.2694208099039295e-05,0,0,0,0,1471997099732,0
27,2016-08-23 19:04:59.770000-05:00,0.014703540435150212,6.850303838798037,6.865007379233188,17.824939124638373,0.7289887035291447,5.624912835873029e-06,0,0,0,0,1471997099770,0
28,2016-08-23 19:04:59.857000-05:00,0.0561999797804663,6.412247901279232,6.4684478810596975,15.876422735059117,2.500783244036805,1.9296167006456827e-05,0,0,0,0,1471997099857,0
29,2016-08-23 19:04:59.932000-05:00,0.010695361697447777,6.304355834078701,6.31505119577615,17.05533748964504,2.4286596011469586,1.87396574162574e-05,0,0,0,0,1471997099932,0
30,2016-08-23 19:04:59.984000-05:00,0.0008570446011510657,6.506745916407688,6.507602961008838,19.02233525355636,1.7910704999718965,1.381998842570908e-05,0,0,0,0,1471997099984,0
